inclinacion_columna,angulo_cuello,ang_rodilla_izq,ang_rodilla_der,ang_codo_izq,ang_codo_der,inclinacion_hombros,inclinacion_caderas,ang_cadera_izq,ang_cadera_der,adelanto_cabeza,altura_cadera_relativa,asimetria_hombros,kp_nose_x,kp_nose_y,kp_left_eye_x,kp_left_eye_y,kp_right_eye_x,kp_right_eye_y,kp_left_ear_x,kp_left_ear_y,kp_right_ear_x,kp_right_ear_y,kp_left_shoulder_x,kp_left_shoulder_y,kp_right_shoulder_x,kp_right_shoulder_y,kp_left_elbow_x,kp_left_elbow_y,kp_right_elbow_x,kp_right_elbow_y,kp_left_wrist_x,kp_left_wrist_y,kp_right_wrist_x,kp_right_wrist_y,kp_left_hip_x,kp_left_hip_y,kp_right_hip_x,kp_right_hip_y,kp_left_knee_x,kp_left_knee_y,kp_right_knee_x,kp_right_knee_y,kp_left_ankle_x,kp_left_ankle_y,kp_right_ankle_x,kp_right_ankle_y,kp_left_heel_x,kp_left_heel_y,kp_right_heel_x,kp_right_heel_y,kp_left_foot_index_x,kp_left_foot_index_y,kp_right_foot_index_x,kp_right_foot_index_y,visibilidad_promedio,clase_nombre,clase_id,archivo
2.1161,146.705,175.4835,178.2316,-1.0,162.3987,68.0093,69.6155,177.066,177.5581,0.228756,-0.255127,0.025249,0.191832,-1.377354,0.14647,-1.437798,0.116968,-1.432489,0.067389,-1.402994,0.017437,-1.386372,-0.005663,-1.011943,-0.068186,-0.986693,0.079233,-0.482879,-0.015052,-0.418347,0.210854,-0.038598,0.186027,0.056697,0.029355,-0.010908,-0.029355,0.010908,0.019919,0.570115,-0.031716,0.646477,-0.027534,1.067754,-0.016338,1.212746,-0.088668,1.176815,-0.086322,1.352021,0.216332,1.151673,0.277049,1.299952,0.8953,BIEN DE PIE,0,20260129_083821.jpg
4.0649,137.3472,173.3416,177.8353,-1.0,163.1408,79.9766,70.0635,177.2772,171.9604,0.259402,-0.263856,0.011182,0.188515,-1.322573,0.144119,-1.390445,0.128272,-1.389952,0.046083,-1.374528,0.026368,-1.370014,-0.102519,-1.003075,-0.039255,-0.991893,-0.118747,-0.442904,-0.056389,-0.416332,0.042964,-0.005153,0.076179,0.073151,-0.031808,-0.011537,0.031808,0.011537,-0.016261,0.645116,-0.017442,0.717839,-0.066766,1.189335,-0.038562,1.381015,-0.125533,1.356454,-0.089054,1.497166,0.203275,1.243357,0.261913,1.461091,0.8952,BIEN DE PIE,0,20260129_083852.jpg
2.7792,137.9129,170.4949,178.3168,-1.0,159.4927,59.8178,38.8403,178.6123,175.959,0.259599,-0.263748,0.037774,0.211112,-1.315902,0.172033,-1.397021,0.172033,-1.391626,0.09053,-1.380745,0.094345,-1.367781,-0.080961,-1.017711,-0.016013,-0.979937,-0.06001,-0.42827,-0.042195,-0.372657,0.050292,0.023927,0.117367,0.117302,-0.008861,-0.011006,0.008861,0.011006,0.019791,0.594592,-0.022882,0.709243,-0.044483,1.133902,-0.069373,1.329549,-0.117752,1.228954,-0.142023,1.45545,0.241497,1.238336,0.261529,1.443154,0.906,BIEN DE PIE,0,20260129_084041.jpg
0.5738,136.3708,-1.0,172.754,-1.0,169.0176,40.842,81.0226,-1.0,179.7928,0.25931,-0.194325,0.008088,0.249296,-1.277488,0.220428,-1.348116,0.203035,-1.351142,0.126112,-1.341672,0.105069,-1.343542,-0.006518,-0.995906,-0.01351,-1.003994,-0.000582,-0.483917,-0.01116,-0.44833,0.122702,-0.059839,0.084842,0.035425,0.010034,0.001585,-0.010034,-0.001585,0.028015,0.603849,-0.010135,0.679148,-0.089732,1.111296,-0.09599,1.3536,-0.173742,1.253286,-0.160813,1.447519,0.174911,1.263583,0.196274,1.464465,0.8837,BIEN DE PIE,0,20260129_084154.jpg
7.9852,131.3046,-1.0,167.8945,-1.0,129.5624,73.967,65.3561,-1.0,154.367,0.262057,-0.14588,0.019787,0.123139,-1.294863,0.068489,-1.356022,0.04218,-1.34682,-0.017478,-1.323422,-0.045224,-1.306212,-0.173346,-1.000198,-0.10449,-0.98041,0.119594,-0.539103,0.028737,-0.464679,0.356518,-0.416736,0.397139,-0.292277,-0.032877,-0.015083,0.032877,0.015083,0.0618,0.530171,0.471774,0.678446,-0.025888,1.099762,0.718938,1.309651,-0.100837,1.210769,0.695389,1.475692,0.242259,1.173792,1.04201,1.298691,0.8798,BIEN DE PIE,0,20260129_084236.jpg
2.6165,132.4593,171.7391,175.9644,-1.0,136.1585,73.236,70.5005,174.2799,173.4042,0.263826,-0.178097,0.027575,0.218176,-1.263482,0.180561,-1.328481,0.164236,-1.321682,0.102841,-1.307282,0.077434,-1.2901,-0.091421,-1.012745,0.000121,-0.98517,-0.257218,-0.621413,-0.055613,-0.549561,-0.104608,-0.323134,0.164615,-0.252487,-0.02089,-0.007397,0.02089,0.007397,-0.037599,0.553268,-0.039992,0.651806,-0.130676,1.082865,-0.139131,1.248541,-0.216966,1.227878,-0.226096,1.381314,0.104823,1.20669,0.142098,1.368701,0.9048,BIEN DE PIE,0,20260129_084312.jpg
1.565,145.3438,-1.0,168.9394,-1.0,161.7027,55.0826,73.9148,-1.0,175.0964,0.252067,-0.236056,0.004152,0.279378,-1.343767,0.240894,-1.413818,0.221421,-1.413065,0.151937,-1.391873,0.114668,-1.385263,0.030284,-1.001703,0.024337,-0.997551,0.069758,-0.455645,0.000448,-0.418239,0.154009,0.003874,0.145584,0.090055,-0.025397,-0.007323,0.025397,0.007323,0.027554,0.675122,0.091571,0.769204,0.052658,1.327698,0.013526,1.499908,-0.013382,1.446276,-0.105642,1.601624,0.355221,1.477048,0.27668,1.592599,0.8263,BIEN DE PIE,0,20260129_084341.jpg
0.8211,145.5529,-1.0,171.3234,-1.0,159.3673,27.4228,88.92,-1.0,174.4179,0.258552,-0.202772,0.024617,0.272883,-1.365495,0.217442,-1.428454,0.206202,-1.426724,0.128201,-1.393345,0.109956,-1.393227,0.020716,-0.987589,0.007944,-1.012206,0.061331,-0.430748,-0.022757,-0.413189,0.170791,0.036963,0.13531,0.08214,0.021881,0.000412,-0.021881,-0.000412,0.092281,0.637894,0.027437,0.724189,0.000436,1.25963,-0.028124,1.388229,-0.077111,1.369447,-0.12796,1.481585,0.317334,1.416151,0.257683,1.51462,0.8602,BIEN DE PIE,0,20260129_084430.jpg
3.7437,138.0474,168.7962,172.3746,-1.0,172.0131,75.2769,84.8874,175.8355,175.9105,0.271719,-0.189112,0.040721,0.206426,-1.343049,0.161112,-1.413924,0.141464,-1.411059,0.067103,-1.393287,0.027211,-1.383316,0.012189,-1.018227,-0.142776,-0.977506,0.081609,-0.503997,-0.090835,-0.404753,0.121809,-0.079653,0.010911,0.030115,0.059738,-0.005345,-0.059738,0.005345,0.04596,0.529086,-0.052117,0.59558,-0.05943,0.997475,-0.118278,1.143465,-0.137554,1.085981,-0.192636,1.23698,0.183964,1.074113,0.147701,1.338618,0.9259,BIEN DE PIE,0,20260129_084507.jpg
1.1674,148.0495,-1.0,170.4797,-1.0,158.4386,62.4078,63.3398,-1.0,178.7406,0.224592,-0.264302,0.024889,0.244966,-1.344081,0.203243,-1.419918,0.170901,-1.414734,0.115822,-1.385252,0.072588,-1.370933,0.044186,-1.012237,-0.003439,-0.987348,0.046484,-0.479574,0.042867,-0.41762,0.137954,-0.077355,0.269755,0.043312,0.013887,-0.006973,-0.013887,0.006973,0.009344,0.645374,-0.005381,0.748377,-0.108874,1.21379,-0.104365,1.383159,-0.201533,1.324499,-0.20808,1.51417,0.128949,1.371489,0.210389,1.579599,0.8746,BIEN DE PIE,0,20260129_084707.jpg
